bubbleRating,category,detailUrl,entityType,experiencesCtaEncodedLink,experiencesCtaNumOffers,experiencesCtaStartingCost,id,name,numReviews,openHours,latitude,longitude,count_review,lang_review,,,,,
45,Специализированные музеи,/Attraction_Review-g298484-d2342320-Reviews-Museum_of_Soviet_Arcade_Machines-Moscow_Central_Russia.html,attraction,,0,,2342320,Музей советских игровых автоматов,507,11:00 - 21:00,55.76451874,37.62378311,507,Английский(216)Русский(209)Испанский(37),Английский216,Русский209,Испанский37,,
30,,/Attraction_Review-g298484-d3566560-Reviews-City_Sightseeing_Moscow-Moscow_Central_Russia.html,attraction,,0,,3566560,Автобусные экскурсии по Москве,500,,55.74610901,37.62258911,500,Русский(228)Английский(179)Испанский(29),Русский228,Английский179,Испанский29,,
45,Блошиные и уличные рынки,/Attraction_Review-g298484-d2342143-Reviews-Danilovsky_Market-Moscow_Central_Russia.html,attraction,,0,,2342143,Даниловский рынок,498,,55.71208191,37.62079239,498,Русский(374)Английский(74)Китайский (упрощ.)(26),Русский374,Английский74,Китайский упрощ.,(26,
40,"Специализированные музеи, Культурные объекты и достопримечательности, Архитектурные достопримечательности",/Attraction_Review-g298484-d4569243-Reviews-Kremlin_in_Izmailovo-Moscow_Central_Russia.html,attraction,,0,,4569243,Кремль в Измайлово,495,9:00 - 20:00,55.79465103,37.7502594,495,Русский(345)Английский(50)Испанский(33),Русский345,Английский50,Испанский33,,
50,Музеи искусств,/Attraction_Review-g298484-d2341975-Reviews-Art_Gallery_of_the_European_and_American_Countries_of_the_XIX_XX_centuries-Moscow.html,attraction,,0,,2341975,Галерея искусства стран Европы и Америки XIX-XX веков,491,,55.74655151,37.60538483,491,Русский(283)Английский(107)Китайский (упрощ.)(36),Русский283,Английский107,Китайский упрощ.,(36,
45,Памятники и статуи,/Attraction_Review-g298484-d2342318-Reviews-Worker_and_Kolkhoz_Woman-Moscow_Central_Russia.html,attraction,,0,,2342318,Рабочий и колхозница,475,,55.82387161,37.63895035,475,Русский(313)Английский(68)Испанский(24),Русский313,Английский68,Испанский24,,
45,"Бары и клубы, Винные бары",/Attraction_Review-g298484-d9858900-Reviews-Kot_Shrodingera-Moscow_Central_Russia.html,attraction,,0,,9858900,Кот Шредингера,470,17:00 - 23:00,55.76534271,37.61101532,470,Русский(430)Английский(31)Немецкий(4),Русский430,Английский31,Немецкий4,,
50,,/Attraction_Review-g298484-d2486822-Reviews-Bridge_to_Moscow-Moscow_Central_Russia.html,attraction,,0,,2486822,Bridge to Moscow,451,,55.76274872,37.63514328,451,Английский(404)Китайский (упрощ.)(40)Русский(11),Английский404,Китайский упрощ.,40,Русский(11,
45,Представления,/Attraction_Review-g298484-d300376-Reviews-Great_Moscow_State_Circus_on_Vernadskogo-Moscow_Central_Russia.html,attraction,,0,,300376,Большой Московский Государственный цирк на проспекте Вернадского,447,,55.69474411,37.53964233,447,Русский(299)Английский(107)Китайский (традиц.)(27),Русский299,Английский107,Китайский традиц.,(27,
45,Специализированные музеи,/Attraction_Review-g298484-d530939-Reviews-The_State_A_S_Pushkin_Museum-Moscow_Central_Russia.html,attraction,,0,,530939,Государственный музей А.С. Пушкина на Пречистенке,446,,55.74403381,37.5969162,446,Русский(314)Английский(59)Итальянский(19),Русский314,Английский59,Итальянский19,,
45,Церкви и соборы,/Attraction_Review-g298484-d300412-Reviews-Uspensky_Cathedral-Moscow_Central_Russia.html,attraction,,0,,300412,Успенский собор,430,,55.7521019,37.6178894,430,Английский(137)Русский(76)Испанский(48),Английский137,Русский76,Испанский48,,
50,Кулинарные мастер-классы,/Attraction_Review-g298484-d11953862-Reviews-Culinary_Studio_CulinaryOn-Moscow_Central_Russia.html,attraction,,0,,11953862,Кулинарная студия CulinaryOn,419,10:00 - 0:00,55.74643707,37.68249893,419,Русский(415)Английский(4),Русский415,Английский4,,,
50,"Уроки и мастер-классы, Кулинарные мастер-классы",/Attraction_Review-g298484-d3840562-Reviews-Culinary_studio_Clever-Moscow_Central_Russia.html,attraction,,0,,3840562,Кулинарная студия Clever,416,10:00 - 22:00,55.69989014,37.62362289,416,Русский(416),Русский416,,,,
